stations,lon,lat,year,hour,PM25
1432A,104.176,30.6872,20180101,12,121
2611A,104.2319,23.3892,20180101,12,15
2610A,104.2533,23.3594,20180101,12,16
1904A,104.3539,31.1108,20180101,12,123
1902A,104.3883,31.1333,20180101,12,90
1903A,104.4053,31.1167,20180101,12,100
1901A,104.4219,31.1208,20180101,12,101
1886A,104.5761,28.71583,20180101,12,116
1882A,104.5969,28.8194,20180101,12,115
1884A,104.6061,28.7867,20180101,12,89
2664A,104.6169,35.5975,20180101,12,151
1883A,104.6225,28.76611,20180101,12,83
2663A,104.6228,35.5714,20180101,12,121
2563A,104.6289,30.1377,20180101,12,69
2565A,104.6294,30.1259,20180101,12,69
2562A,104.6356,30.1506,20180101,12,54
1885A,104.6417,28.76389,20180101,12,90
2561A,104.6617,30.1366,20180101,12,32
1880A,104.6717,31.4656,20180101,12,108
1887A,104.6789,28.7989,20180101,12,111
3027A,104.7228,29.33972,20180101,12,92
1881A,104.7283,31.5072,20180101,12,110
1879A,104.7536,31.4539,20180101,12,98
1897A,104.7547,29.3628,20180101,12,107
1900A,104.7692,29.3411,20180101,12,100
3028A,104.7778,29.36028,20180101,12,81
1878A,104.7778,31.4747,20180101,12,97
2576A,104.8,26.5892,20180101,12,100
2577A,104.83,26.5917,20180101,12,102
2579A,104.8475,26.5894,20180101,12,92
2590A,104.8811,25.0992,20180101,12,7
2578A,104.89,26.5939,20180101,12,93
2589A,104.9022,25.0925,20180101,12,21
2580A,104.9544,26.5506,20180101,12,52
2680A,105.0197,37.4514,20180101,12,58
2534A,105.0406,29.5822,20180101,12,85
2533A,105.0653,29.5817,20180101,12,56
2532A,105.0717,29.5947,20180101,12,63
2665A,105.0822,33.3261,20180101,12,52
2681A,105.18,37.0172,20180101,12,21
2682A,105.1971,37.5002,20180101,12,45
2587A,105.2864,27.3125,20180101,12,34
2588A,105.31,27.2944,20180101,12,28
1893A,105.4306,28.9583,20180101,12,76
1895A,105.4322,28.8558,20180101,12,92
1894A,105.4436,28.9026,20180101,12,71
2530A,105.5956,30.475,20180101,12,68
2204A,105.6775,38.8343,20180101,12,45
2528A,105.68,30.6133,20180101,12,83
2205A,105.6975,38.843,20180101,12,32
2206A,105.724,38.8516,20180101,12,28
2650A,105.7281,34.5814,20180101,12,97
2527A,105.7519,30.5797,20180101,12,99
2525A,105.8153,32.4246,20180101,12,40
2524A,105.8242,32.4429,20180101,12,42
2651A,105.8614,34.5653,20180101,12,109
2526A,105.8624,32.4285,20180101,12,72
2523A,105.8945,32.4535,20180101,12,39
3125A,105.8983,26.2481,20180101,12,38
3123A,105.9408,26.2431,20180101,12,32
3124A,105.9439,26.2564,20180101,12,32
1484A,105.9512,38.6016,20180101,12,65
3122A,105.9606,26.2611,20180101,12,32
2649A,106.005,34.3469,20180101,12,49
1905A,106.056,30.8064,20180101,12,73
1909A,106.0642,30.7636,20180101,12,85
1906A,106.0789,30.8023,20180101,12,83
2926A,106.1024,38.49494,20180101,12,96
1907A,106.1031,30.8217,20180101,12,79
1908A,106.1064,30.7856,20180101,12,90
1910A,106.1087,30.8388,20180101,12,96
1489A,106.1358,38.5036,20180101,12,85
2677A,106.1532,37.9648,20180101,12,82
2679A,106.196,37.9723,20180101,12,77
2678A,106.2025,37.9844,20180101,12,92
2924A,106.2275,38.44139,20180101,12,56
2683A,106.2319,36.1417,20180101,12,76
1488A,106.2328,38.4975,20180101,12,91
2685A,106.2375,36.0211,20180101,12,49
2925A,106.2739,38.4841,20180101,12,88
2684A,106.2792,36.0022,20180101,12,47
1418A,106.296,29.5983,20180101,12,63
1947A,106.3394,38.817,20180101,12,85
1422A,106.364,29.4822,20180101,12,55
1948A,106.3717,39.0153,20180101,12,107
1414A,106.379,29.8272,20180101,12,36
3015A,106.4042,29.57278,20180101,12,55
1416A,106.424,29.8264,20180101,12,68
1428A,106.452,29.709,20180101,12,71
1426A,106.468,29.4892,20180101,12,65
3014A,106.4959,29.53675,20180101,12,62
1429A,106.513,29.389,20180101,12,65
1419A,106.54,29.5186,20180101,12,79
3133A,106.5469,29.565,20180101,12,64
3016A,106.5506,29.41569,20180101,12,70
1427A,106.562,29.6453,20180101,12,53
2512A,106.6103,23.9011,20180101,12,83
1425A,106.617,29.7125,20180101,12,64
1441A,106.6243,26.6266,20180101,12,19
1417A,106.626,29.7228,20180101,12,123
2545A,106.6271,30.4663,20180101,12,95
2544A,106.6303,30.4576,20180101,12,91
2543A,106.631,30.518,20180101,12,69
1421A,106.634,29.4892,20180101,12,70
2902A,106.6351,30.4865,20180101,12,96
2547A,106.6388,30.4551,20180101,12,59
2513A,106.6527,23.8844,20180101,12,77
1443A,106.6554,26.4364,20180101,12,26
